"stageid","traversedpath","cr9a7_ai","adx_createdbyipaddress","adx_createdbyusername","fax","donotfax","ftpsiteurl","adx_modifiedbyipaddress","adx_modifiedbyusername","utcconversiontimezonecode","websiteurl","importsequencenumber","aging30","aging30_base","aging60","aging60_base","aging90","aging90_base","entityimageid","accountcategorycode","lastusedincampaign","creditonhold","statuscode","telephone2","timezoneruleversionnumber","donotbulkpostalmail","versionnumber","yominame","processid","marketingonly","donotsendmm","participatesinworkflow","businesstypecode","primarysatoriid","primarytwitterid","telephone1","ownershipcode","address1_composite","address1_fax","address1_addresstypecode","address1_primarycontactname","address1_county","address1_country","address1_city","address1_line2","address1_line3","address1_name","address1_line1","address1_postofficebox","address1_longitude","address1_latitude","address1_freighttermscode","address1_postalcode","address1_stateorprovince","address1_telephone2","address1_telephone3","address2_composite","address2_fax","address2_addresstypecode","address2_primarycontactname","address2_county","address2_country","address2_city","address2_line2","address2_line3","address2_name","address2_line1","address2_postofficebox","address2_longitude","address2_latitude","address2_postalcode","address2_stateorprovince","address2_telephone1","address2_telephone2","address2_telephone3","onholdtime","preferredcontactmethodcode","accountclassificationcode","creditlimit","creditlimit_base","lastonholdtime","cr72a_businesspartner","accountid","name","accountnumber","accountratingcode","revenue","revenue_base","preferredappointmenttimecode","preferredappointmentdaycode","numberofemployees","territorycode","paymenttermscode","entityimage","marketcap","marketcap_base","sharesoutstanding","tickersymbol","industrycode","sic","exchangerate","statecode","shippingmethodcode","merged","timespentbymeonemailandmeetings","address1_telephone1","stockexchange","description","donotpostalmail","customertypecode","emailaddress1","emailaddress2","emailaddress3","donotemail","donotbulkemail","followemail","telephone3","donotphone","customersizecode","cr9a7_it_anken","msa_managingpartnerid","slaid","masterid","createdbyexternalparty","modifiedbyexternalparty","parentaccountid","primarycontactid","owningbusinessunit","slainvokedid","cr72a_table","transactioncurrencyid","preferredsystemuserid.azureactivedirectoryobjectid"
"","","False","","","","False","","","","","","","","","","","","","","","","False","1","","","False","8307603","","","False","False","False","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","False","514011ed-1a09-f011-bae2-00224863cb6d","アルテンジャパン株式会社","","1","","","","","","1","","","","","","","","","","0","1","False","","","","","False","","","","","False","False","True","","False","1","","","","","","","","","909ec59e-17c2-ee11-907a-00224862777c","","","",""
"","","False","","","","False","","","","","","","","","","","","","","","","False","1","","","False","8169389","","","False","False","False","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","False","a3ecd632-1d06-f011-bae2-00224863cb6d","株式会社クリア","","1","","","","","","1","","","","","","","","","","0","1","False","","","","","False","","","","","False","False","True","","False","1","","","","","","","","","909ec59e-17c2-ee11-907a-00224862777c","","","",""
"","","False","","","","False","","","","","","","","","","","","","","","","False","1","","","False","8169358","","","False","False","False","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","False","c9048500-1d06-f011-bae2-00224863cb6d","株式会社LEET","","1","","","","","","1","","","","","","","","","","0","1","False","","","","","False","","","","","False","False","True","","False","1","","","","","","","","","909ec59e-17c2-ee11-907a-00224862777c","","","",""
"","","False","","","","False","","","","","","","","","","","","","","","","False","1","","","False","8005752","","","False","False","False","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","False","ccd54807-07ff-ef11-bae2-6045bd54ee5f","株式会社iRup","","1","","","","","","1","","","","","","","","","","0","1","False","","","","","False","","","","","False","False","True","","False","1","","","","","","","","","909ec59e-17c2-ee11-907a-00224862777c","","","",""
"","","False","","","","False","","","","","","","","","","","","","","","","False","1","","","False","7948001","","","False","False","False","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","False","9ffe16dd-8cfd-ef11-bae2-6045bd54ee5f","株式会社Luxy","","1","","","","","","1","","","","","","","","","","0","1","False","","","","","False","","","","","False","False","True","","False","1","","","","","","","","","909ec59e-17c2-ee11-907a-00224862777c","","","",""
"","","False","","","","False","","","","","","","","","","","","","","","","False","1","","","False","7878190","","","False","False","False","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","False","78862452-55fd-ef11-bae2-6045bd54ee5f","株式会社リープ","","1","","","","","","1","","","","","","","","","","0","1","False","","","","","False","","","","","False","False","True","","False","1","","","","","","","","","909ec59e-17c2-ee11-907a-00224862777c","","","",""
"","","False","","","","False","","","","","","","","","","","","","","","","False","1","","","False","7874589","","","False","False","False","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","False","b7d5f749-40fd-ef11-bae2-6045bd54ee5f","BITS株式会社","","1","","","","","","1","","","","","","","","","","0","1","False","","","","","False","","","","","False","False","True","","False","1","","","","","","","","","909ec59e-17c2-ee11-907a-00224862777c","","","",""
"","","False","","","","False","","","","","","","","","","","","","","","","False","1","","","False","7841360","","","False","False","False","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","False","dea37c5f-d8fb-ef11-bae2-6045bd54ee5f","株式会社アクセスネット","","1","","","","","","1","","","","","","","","","","0","1","False","","","","","False","","","","","False","False","True","","False","1","","","","","","","","","909ec59e-17c2-ee11-907a-00224862777c","","","",""
"","","False","","","","False","","","","","","","","","","","","","","","","False","1","","","False","7833950","","","False","False","False","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","False","5c686ec2-bbfb-ef11-bae2-6045bd54ee5f","株式会社パワーエッジ","","1","","","","","","1","","","","","","","","","","0","1","False","","","","","False","","","","","False","False","True","","False","1","","","","","","","","","909ec59e-17c2-ee11-907a-00224862777c","","","",""
"","","False","","","","False","","","","","","","","","","","","","","","","False","1","","","False","7833919","","","False","False","False","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","1","","","","False","ff47de9a-bbfb-ef11-bae2-6045bd54ee5f","株式会社広済堂ネクスト","","1","","","","","","1","","","","","","","","","","0","1","False","","","","","False","","","","","False","False","True","","False","1","","","","","","","","","909ec59e-17c2-ee11-907a-00224862777c","","","",""
